127.0.0.1 - - [29/Mar/2021:10:27:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Mar/2021:10:27:54 +0900] "GET /WebUI/index.html HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [29/Mar/2021:10:36:13 +0900] "GET /WebUI/index.html HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [29/Mar/2021:10:36:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.10.94 - - [29/Mar/2021:10:36:26 +0900] "GET /WebUI/index.html HTTP/1.1" 200 136
192.168.10.94 - - [29/Mar/2021:10:36:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.10.94 - - [29/Mar/2021:10:36:45 +0900] "GET /WebUI/index.html HTTP/1.1" 304 -
192.168.10.94 - - [29/Mar/2021:10:40:07 +0900] "GET /WebUI/index.html HTTP/1.1" 200 136
192.168.10.94 - - [29/Mar/2021:10:40:53 +0900] "GET /WebUI/index.html HTTP/1.1" 304 -
192.168.10.94 - - [29/Mar/2021:10:40:54 +0900] "GET /WebUI/index.html HTTP/1.1" 304 -
192.168.10.94 - - [29/Mar/2021:10:40:56 +0900] "GET /WebUI/index.html HTTP/1.1" 304 -
